"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","S3.mean","S3.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","S3_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.25-0.5-0.25",0.996837702970297,0.0013605968289288,0.347287227722772,0.0176791552365384,0.334839811881188,0.017860485720558,0.31787297029703,0.00274213558182467,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1",NA,90,4,0.185708097719972,0.1840801876992,0.181628840187146,0.551417125606318,0.23781793006993,0.235495484525376
"2","0.25-0.5-0.25",0.994171920792079,0.00976698063137546,0.356963584158416,0.0914564825292628,0.32507999009901,0.0897707185436872,0.317956316831683,0.00719080118753215,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1",NA,90,5,0.186876684760945,0.182703409161142,0.181641552170666,0.551221646092753,0.23652493006993,0.216142652842207
"3","0.25-0.5-0.25",0.993810079207921,0.00725444441247318,0.343001683168317,0.024103161781779,0.337855811881188,0.0243341483486531,0.319142564356436,0.0048692281203818,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1",NA,90,6,0.185163607819312,0.184487677218177,0.181821751768142,0.551473036805631,0.23758793006993,0.244066623139237
"4","0.25-0.5-0.25",0.992884227722772,0.012252233879486,0.33600498019802,0.0625645441330759,0.34521098019802,0.0632523027000567,0.318784089108911,0.00562020126703486,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_1_Peak_intensity_max_peak_2",NA,90,7,0.184238609984453,0.185446386207419,0.181767439801968,0.55145243599384,0.24032393006993,0.258060019178841
"5","0.25-0.5-0.25",0.98558700990099,0.0259303920203668,0.344530148514851,0.0803721190655548,0.339975079207921,0.0788934304032577,0.315494732673267,0.0316037180559159,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_1_Peak_intensity_max_peak_2-Record_1_Cross_section_component_1",NA,90,8,0.185359716395656,0.184768991674934,0.181263279750295,0.551391987820885,0.24189493006993,0.241009593436267
"6","0.25-0.5-0.25",0.98544300990099,0.0270771961907045,0.334439762376238,0.0839832972744162,0.350396574257426,0.0793022164591062,0.315163722772277,0.023460685666075,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_1_Peak_intensity_max_peak_2-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,9,0.184025504617366,0.186092752315749,0.181211965078707,0.551330222011822,0.24190293006993,0.261190464723395
"7","0.25-0.5-0.25",0.987074920792079,0.0141023027131623,0.344636217821782,0.0527924585547224,0.335202198019802,0.0531403274387766,0.320161623762376,0.00798991927224735,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_1_Peak_intensity_max_peak_2-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_peak_1",NA,90,10,0.185373246691556,0.184129594378484,0.181975472336268,0.551478313406308,0.24307293006993,0.240797534030326
"8","0.25-0.5-0.25",0.954941435643564,0.0112066427304665,0.179605524752475,0.0362294483514707,0.491059396039604,0.0433763165084541,0.329335099009901,0.0111913883611507,"Record_1_Peak_intensity_integrated_relative_peak_2 Record_1_Peak_intensity_peak_2","Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_max_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_1_Peak_intensity_max_peak_2-Record_1_Cross_section_component_1-Record_1_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_peak_1-Record_3_Frequency_factor_peak_2",NA,90,11,0.149725781809317,0.194996108010119,0.183314651876743,0.52803654169618,0.58393893006993,0.57085890036696
"9","0.25-0.5-0.25",0.996847871287129,0.0013625283238404,0.347287227722772,0.0176791552365384,0.334839811881188,0.017860485720558,0.31787297029703,0.00274213558182467,"Record_1_Peak_intensity_max_peak_1 Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,90,4,0.185708097719972,0.1840801876992,0.181628840187146,0.551417125606318,0.23781793006993,0.235495484525376
"10","0.25-0.5-0.25",0.995635623762376,0.00366527358556352,0.359774475247525,0.090582311069722,0.325243841584158,0.0889476080059192,0.314981673267327,0.00461976026024925,"Record_1_Peak_intensity_max_peak_1 Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_intensity_max_peak_1-Record_1_Peak_intensity_integrated_relative_peak_2-Record_1_Peak_intensity_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_1_Peak_intensity_integrated_peak_2",NA,90,5,0.187200518252841,0.182727263214152,0.181183697520141,0.551111478987134,0.23398593006993,0.21052096967389
