"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.5-0.5",0.920349782178218,0.038342202031079,0.591871881188119,0.0623300644973655,0.408128118811881,0.0623300644973655,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1",NA,80,3,0.191706788889868,0.191706788889868,0.383413577779736,0.196116,0.183743762376238
"2","0.5-0.5",0.914864158415842,0.0367921678064048,0.627851930693069,0.0451220977139267,0.372148069306931,0.0451220977139267,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_2_Sensitivity_component_1",NA,80,4,0.188543637838364,0.188543637838364,0.377087275676729,0.261372,0.255703861386139
"3","0.5-0.5",0.904315871287129,0.0338379567174684,0.629509386138614,0.0448872164329601,0.370490613861386,0.0448872164329601,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_3",NA,80,5,0.188371454007521,0.188371454007521,0.376742908015043,0.248598,0.259018772277228
"4","0.5-0.5",0.868953099009901,0.0344155890097801,0.582572792079208,0.0532935892284085,0.417427207920792,0.0532935892284085,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_3-Record_2_Cross_section_component_3",NA,80,6,0.192349408692615,0.192349408692615,0.384698817385231,0.171454,0.165145584158416
"5","0.5-0.5",0.877475851485149,0.0361647873306027,0.608172851485149,0.046404528183225,0.391827148514852,0.046404528183225,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_3-Record_2_Cross_section_component_3-Record_2_Intensity_component_1",NA,80,7,0.190408423262879,0.190408423262879,0.380816846525759,0.215334,0.216345702970297
"6","0.5-0.5",0.86336402970297,0.0296219320093931,0.580940693069307,0.0363782774379828,0.419059306930693,0.0363782774379828,NA,"Record_1_Peak_intensity_integrated_peak_1-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_3-Record_2_Cross_section_component_3-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_3",NA,80,8,0.192454922886363,0.192454922886363,0.384909845772726,0.166736,0.161881386138614
