"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.5-0.5",0.919414485148515,0.0354735275070337,0.333693801980198,0.0503085214730109,0.666306198019802,0.0503085214730109,NA,"Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_1-Record_2_Intensity_component_1",NA,80,3,0.18392314170056,0.18392314170056,0.367846283401121,0.341192,0.332612396039604
"2","0.5-0.5",0.920702425742574,0.0317509354055425,0.336558900990099,0.0415669605673797,0.663441099009901,0.0415669605673797,NA,"Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_1-Record_2_Intensity_component_1-Record_1_Peak_intensity_integrated_peak_1",NA,80,4,0.184313483138679,0.184313483138679,0.368626966277358,0.328304,0.326882198019802
"3","0.5-0.5",0.916384237623762,0.028354901297359,0.35605502970297,0.0375340493215042,0.64394497029703,0.0375340493215042,NA,"Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_1-Record_2_Intensity_component_1-Record_1_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1",NA,80,5,0.186770516740997,0.186770516740997,0.373541033481994,0.285296,0.287889940594059
"4","0.5-0.5",0.888916366336634,0.0309580057948579,0.390876910891089,0.0386203818262065,0.609123089108911,0.0386203818262065,NA,"Record_2_Sensitivity_component_1-Record_1_Sensitivity_component_1-Record_2_Intensity_component_1-Record_1_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_2_Cross_section_relative_component_3",NA,80,6,0.190325912129783,0.190325912129783,0.380651824259567,0.221384,0.218246178217822
