"","disk_position","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Frequency_factor_peak_1","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_temperature_peak_1","Record_1_Peak_intensity_peak_1","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_component_2","Record_1_Cross_section_relative_component_1","Record_1_Cross_section_relative_component_2","Record_1_Intensity_component_1","Record_1_Intensity_component_2","Record_1_Sensitivity_component_1","Record_1_Sensitivity_component_2","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_component_2","Record_2_Cross_section_component_3","Record_2_Cross_section_relative_component_1","Record_2_Cross_section_relative_component_2","Record_2_Cross_section_relative_component_3","Record_2_Intensity_component_1","Record_2_Intensity_component_2","Record_2_Intensity_component_3","Record_2_Sensitivity_component_1","Record_2_Sensitivity_component_2","Record_2_Sensitivity_component_3","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Record_4_Nb_peaks","Record_4_Peak_intensity_max_peak_1","Record_4_Peak_intensity_max_peak_2","Record_4_Peak_intensity_max_peak_3","Record_4_Peak_intensity_max_peak_4","Record_4_Peak_intensity_max_peak_5","Record_4_Peak_intensity_integrated_peak_1","Record_4_Peak_intensity_integrated_peak_2","Record_4_Peak_intensity_integrated_peak_3","Record_4_Peak_intensity_integrated_peak_4","Record_4_Peak_intensity_integrated_peak_5","Record_4_Peak_intensity_integrated_relative_peak_1","Record_4_Peak_intensity_integrated_relative_peak_2","Record_4_Peak_intensity_integrated_relative_peak_3","Record_4_Peak_intensity_integrated_relative_peak_4","Record_4_Peak_intensity_integrated_relative_peak_5","Record_4_Peak_temperature_peak_1","Record_4_Peak_temperature_peak_2","Record_4_Peak_temperature_peak_3","Record_4_Peak_temperature_peak_4","Record_4_Peak_temperature_peak_5","Record_4_Peak_intensity_peak_1","Record_4_Peak_intensity_peak_2","Record_4_Peak_intensity_peak_3","Record_4_Peak_intensity_peak_4","Record_4_Peak_intensity_peak_5","Record_1_Cross_section_component_3","Record_1_Cross_section_relative_component_3","Record_1_Intensity_component_3","Record_1_Sensitivity_component_3","Record_4_Peak_intensity_max_peak_6","Record_4_Peak_intensity_integrated_peak_6","Record_4_Peak_intensity_integrated_relative_peak_6","Record_4_Peak_temperature_peak_6","Record_4_Peak_intensity_peak_6","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_2","Record_2_Nb_peaks","Record_2_Peak_intensity_max_peak_1","Record_2_Peak_intensity_integrated_peak_1","Record_2_Peak_intensity_integrated_relative_peak_1","Record_2_Peak_temperature_peak_1","Record_2_Peak_intensity_peak_1","Record_5_Nb_peaks","Record_5_Peak_intensity_max_peak_1","Record_5_Peak_intensity_integrated_peak_1","Record_5_Peak_intensity_integrated_relative_peak_1","Record_5_Peak_temperature_peak_1","Record_5_Peak_intensity_peak_1","Record_3_Peak_intensity_max_peak_3","Record_3_Peak_intensity_integrated_peak_3","Record_3_Peak_intensity_integrated_relative_peak_3","Record_3_Peak_temperature_peak_3","Record_3_Peak_intensity_peak_3"
"Record_1...14",14,"Mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.79591576084993e-17,2.20296825594894e-18,3.86076304598466e-20,1,0.1227,0.0021,21.2124583007414,126.247434984739,5591.49752127821,0.424249166014829,2.52494869969479,111.829950425564,0,0,0,0,0,0,0,0,0,0,0,3,26.7700361632234,126.06897141858,57.6758416382422,0,0,2252.05764094879,3821.21575952969,11759.9967555175,0,0,1,1.69676641043691,5.22188976946569,0,0,284.15,353.15,469.15,0,0,25.8951551749987,158.457730237381,79.4185691225376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.5283649976353,1205.76096505491,1,290.15,21.3237263946368,0,0,0,0,0
"Record_1...15",15,"Mixed",2,38.7489295945478,7.2582646868726,9368.60174889264,1,551.15,186.981682319793,3,5.78942434640642e-17,1.20435628966033e-17,1,0.208,689.318586123496,297.099188778447,13.7863717224699,5.94198377556895,3,6.38201903573722e-17,2.62059906114647e-17,1.05572210960892e-19,1,0.4106,0.0017,5947.37861194518,4025.42047897686,25817.9583582413,118.947572238904,80.5084095795372,516.359167164827,1,21.7633065722329,0,1361.38107346623,0,1,0,288.15,0,25.3169596178374,0,4,286.47885160136,15602.1832394967,99.4837509457636,180.545218169548,0,10070.6776511456,460105.453029318,3765.19446757164,35667.6939749376,0,1,45.6876358242864,0.373876972136363,3.54173723065005,0,290.15,352.15,399.15,466.15,0,319.74646041594,15615.3413654997,206.701790354107,234.747904264578,0,1.74656511693517e-19,0.003,5074.06345561252,101.48126911225,0,0,0,0,0,56.0157706321729,249608984922.26,3894.56103196138,0.415703552819044,576.15,216.151703409193,1,23.270538104958,1378.55648780165,1,283.15,23.3542257606962,0,0,0,0,0,0,0,0,0,0,0
"Record_1...16",16,"Mixed",2,34.4989782881429,2381.16897877929,3021.98425107057,1,287.15,33.5075044150146,3,5.8254332016278e-17,5.95328557061854e-18,1,0.1022,6813.32511941447,4784.41887616775,136.266502388289,95.688377523355,3,7.36267243180605e-17,1.72613077293347e-17,1.22585874099482e-19,1,0.2344,0.0017,29416.0407734344,5529.58180388132,174942.43895829,588.320815468689,110.591636077627,3498.84877916581,3,52.3891835066507,252.492611702725,2401.16279789756,17815.2835695915,1,7.41944010843015,282.15,521.15,37.2022090673724,325.173660022369,5,2091.4949764516,119513.595243702,3348.92838130012,2213.3997832984,473.943503067104,56627.9577872073,3407010.26720583,158217.935405621,92076.5836357023,87022.5614953398,1,60.1648090508308,2.79398978151678,1.62599159909142,1.53674200687843,289.15,347.15,391.15,459.15,520.15,2316.41008730968,119017.061339246,3344.19751899219,2473.39288200104,533.157891552068,2.4620693684815e-19,0.0042,38075.5655349571,761.511310699142,0,0,0,0,0,1874.85977844788,294408.263854434,215894.816035312,71.4414100466701,564.15,2010.85284193577,0,0,0,0,0,0,1,24.495914944557,1314.72330264984,1,279.15,27.9273840367269,177.054114691474,13356.0104197866,5.56230940754244,581.15,287.768870980549
"Record_1...17",17,"Mixed",1,1843.34953315007,6318390.39383447,197616.273114711,1,569.15,1969.84375361981,3,8.13452119247023e-17,2.36614789461427e-17,1,0.2909,9003.50509641221,1915.04376104245,180.070101928244,38.3008752208491,3,8.19469285463796e-17,1.27314576726725e-17,1.23745678584505e-19,1,0.1554,0.0015,32975.474467726,4574.82648544257,143739.841173015,659.509489354519,91.4965297088515,2874.7968234603,3,34.3845083110967,160.588179547254,2131.29001853032,5718.30587273763,1,2.68302569008455,279.15,524.15,28.4123499887187,332.827819922361,5,47095.4426230691,2325.3718351747,855.59652531089,168.545872829446,425.328438249919,1377882.69239829,113183.937241247,45031.4161646341,6626.43850616558,69793.207938075,1,0.0821433768387378,0.0326816037483235,0.00480914561357313,0.0506525035281455,349.15,394.15,457.15,523.15,569.15,47190.0659927614,2390.15944923596,923.344989012064,524.455830973827,446.524716389635,2.44407180584567e-19,0.003,16492.790307209,329.85580614418,0,0,0,0,0,0,0,0,0,0,0,1,44.2432676529824,6757.78170617446,1,716.15,68.1446011692809,1,20.3437497144102,1544.8289196839,1,287.15,23.8776437380146,268.463188112733,45000.3206646333,21.1141234995621,582.15,296.507953735141
"Record_1...18",18,"Mixed",2,37.047768002276,1514.90901584983,3619.44064289418,1,279.15,33.263090833646,3,7.01969324787317e-17,1.09390260007882e-17,1,0.1558,4626.20515047589,976.725421920666,92.5241030095178,19.5345084384133,3,9.69309560742445e-17,4.59783302680549e-17,1.35231240503596e-19,1,0.4743,0.0014,16190.4755219676,11790.9663357511,95376.7457682086,323.809510439352,235.819326715021,1907.53491536417,3,36.0934772073065,48.7542216559569,2582.1227212796,2237.08966665539,1,0.866376198241566,286.15,526.15,39.7746339080963,237.047872663725,5,1094.36841756747,65176.0936483602,169.776640743006,77.6,279.808446883058,133931.40573035,1875170.63598046,4378.22436464342,2037.43879234909,52207.5326635576,1,14.0009777822822,0.032690050110116,0.0152125543761644,0.38980799446449,350.15,398.15,460.15,521.15,572.15,65775.1189644268,851.557698750297,478.215454341333,371.721789625931,376.075989546415,1.90992638749412e-19,0.0027,16787.1925832067,335.743851664133,0,0,0,0,0,1274.03884936633,3691471.87214142,139593.883053912,38.5678055884045,571.15,1368.82214524787,1,25.2406276715007,1365.76854325619,1,280.15,24.4943893815864,1,40.1591128307243,1840.61978582782,1,279.15,41.7129329602197,199.684346322913,39110.9180568067,15.1468083737805,586.15,227.658103979721
"Record_1...19",19,"Mixed",1,1812.03210015222,6806219.49610486,191609.445603215,1,563.15,1882.91999841938,3,6.48023953689959e-17,1.64535080555863e-17,1,0.2539,43996.5414466652,5918.41210170902,879.930828933304,118.36824203418,3,6.89856836613786e-17,2.33144787365555e-17,1.06214945554939e-19,1,0.338,0.0015,66240.7844762832,5214.72271402606,173431.565467846,1324.81568952566,104.294454280521,3468.63130935691,3,27.0676661839365,140.012299646653,2148.44305598483,5737.20491816978,1,2.67040120155285,289.15,522.15,25.6045769008888,320.849243837243,5,1693.12060727208,89502.7689079841,1512.1421242111,1150.87119068546,587.63890311991,50805.355373485,2558364.83951175,99559.6405997225,42345.6396224916,83982.3162299033,1,50.3562040006306,1.95962885935608,0.833487716229844,1.65302093868894,289.15,347.15,395.15,456.15,520.15,1850.72272489104,89224.5693340678,1539.70578360006,1405.98199400952,594.553090076238,2.10685822502419e-19,0.0033,45173.7544413208,903.475088826416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.576424352866,37828.4213336844,17.6073651234587,574.15,252.451565247614
"Record_1...20",20,"Mixed",2,23.2509769348401,2404.82260630808,2031.47775858235,1,297.15,24.0271092769025,2,5.22197852571028e-17,2.26713591261327e-19,1,0.0043,1764.16476346345,12936.9019116112,35.283295269269,258.738038232225,3,7.64780612620475e-17,1.83885057405153e-17,1.49360031461929e-19,1,0.2404,0.002,19293.3893431378,4622.67029226546,88555.7787277855,385.867786862757,92.4534058453091,1771.11557455571,2,154.112720568084,279.062492370544,6837.32406532349,42127.1897981579,1,6.16135631362162,525.15,587.15,309.629435270165,291.211691042916,5,1134.73908996823,64734.6923425602,1760.64354727024,2551.78134050511,411.258031456008,29065.1976135109,1866824.14104954,90832.0701797013,104973.200526874,51336.7984993576,1,64.2288473614832,3.12511448872717,3.61164585642031,1.76626352870533,290.15,348.15,395.15,458.15,534.15,1261.28935783536,64617.8325827195,1827.0304502768,2668.86071138926,518.032010871777,0,0,0,0,0,0,0,0,0,1747.37795849419,7296929.51329606,185634.556677875,91.3790741215981,570.15,1821.29143908459,0,0,0,0,0,0,1,22.9538108718188,1347.29803404944,1,280.15,23.1567458523293,0,0,0,0,0
"Record_1...21",21,"Mixed",1,983.178932644626,34363092.4954121,97671.7475263492,1,569.15,1047.2096483926,3,5.25296414293683e-17,7.09237953016665e-18,1,0.135,634.835204625068,1542.39569241227,12.6967040925014,30.8479138482453,3,7.16244634449808e-17,1.24588409627734e-17,8.86764165298985e-20,1,0.1739,0.0012,4622.3000742918,785.420658658653,88527.4480250778,92.446001485836,15.7084131731731,1770.54896050156,1,176.633169178927,0,19700.5766524814,0,1,0,529.15,0,231.898926952788,0,5,772.352229532376,44504.9112587022,600.986427797028,148.723165322921,295.761326441288,21905.6020245968,1283884.89562145,32503.9469826346,5298.75963494447,44557.8312968716,1,58.6098886567842,1.4838189311637,0.24189061907519,2.03408384973121,288.15,349.15,393.15,459.15,528.15,832.373206131106,44251.4919865944,589.0248525341,257.231315927596,345.234006669547,2.82846360456526e-19,0.0054,8471.57369404153,169.431473880831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...22",22,"Mixed",1,1105.17952513245,5661109.06482526,117107.823207565,1,566.15,1082.94430172713,2,4.82489165686639e-17,2.15643351283232e-19,1,0.0045,890.996047984177,12509.0280272839,17.8199209596835,250.180560545678,3,7.0008484840209e-17,2.37509153743243e-17,1.28155983733491e-19,1,0.3393,0.0018,15632.4933514097,4812.22725484846,115375.099044774,312.649867028195,96.2445450969691,2307.50198089548,1,260.543786976108,0,38526.9944325929,0,1,0,525.15,0,359.036881950703,0,5,1426.92556358939,80117.8688848892,1506.79688023518,485.333045873724,358.986618918705,36903.2018631198,2294334.28145312,80219.819345859,22323.5253910272,19935.7886779439,1,62.1716860765413,2.17379022133114,0.6049210980074,0.540218400340684,287.15,348.15,391.15,455.15,521.15,1536.48057466279,79638.5487667075,1358.4592436066,566.838083023538,531.720060686529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...23",23,"Mixed",1,945.900106674663,4599691.54468077,101451.63189856,1,563.15,971.596588404017,3,6.88018414609457e-17,8.46023936495072e-18,1,0.123,1429.13099979785,648.018574713526,28.5826199959569,12.9603714942705,3,7.44127594622963e-17,1.2982320682917e-17,7.70466747415921e-20,1,0.1745,0.001,6552.16101317211,1120.43179381872,160275.195727424,131.043220263442,22.4086358763744,3205.50391454849,2,169.746467015735,140.565744660589,8718.77077622924,12741.4089848412,1,1.46137675962066,519.15,573.15,226.860899531067,179.802859830801,5,1152.21087636251,67100.1431104299,1285.62666933007,334.820518622537,279.595290406976,28712.5051362196,1890598.03203613,63618.0513167907,15016.4522329372,47703.948838614,1,65.8458056190721,2.21569142138487,0.522993453956569,1.66143457745306,289.15,347.15,389.15,451.15,518.15,1245.09728204234,66813.7006724821,1285.02903529607,469.897920967153,322.58978497039,1.92439234365328e-19,0.0028,8356.92376169847,167.138475233969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...24",24,"Mixed",1,968.949538238902,267098913.341277,78656.8492291573,1,560.15,1040.72637508268,2,4.83176389612135e-17,3.92950184213558e-19,1,0.0081,1191.63297465879,5145.44765415574,23.8326594931758,102.908953083115,3,7.05693639404851e-17,1.90166533498632e-17,8.19822771359444e-20,1,0.2695,0.0012,13443.500079622,1966.01266728049,155714.472518456,268.87000159244,39.3202533456098,3114.28945036912,3,25.2791910561958,185.557908845176,1158.62567541974,8884.16777777979,1,7.66784990722846,279.15,524.15,20.2511040146858,294.852211460343,5,1599.00376272628,96982.2162489262,936.511778646645,270.891092169836,408.561999713802,35512.0834083712,2733637.04463851,60754.4952921661,12023.209380915,59185.0178169743,1,76.9776589338069,1.7108119113576,0.338566713832418,1.66661632144688,288.15,347.15,391.15,441.15,523.15,1682.11915250876,96483.0031771716,929.308105214722,372.520012325365,476.112929004826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.67156143612,21419.2998386639,18.4868161418088,676.15,43.8884631133025
"Record_1...25",25,"Mixed",1,1370.61869953808,6336798.71350097,145627.42533055,1,563.15,1456.18439050963,3,6.76392905532837e-17,5.30016713478908e-18,1,0.0784,2304.25609125019,5865.39722923749,46.0851218250039,117.30794458475,3,7.44683268005821e-17,7.5594869814045e-18,1.11088238787266e-19,1,0.1015,0.0015,14124.1222764354,5760.5249741846,149463.499137089,282.482445528708,115.210499483692,2989.26998274179,2,164.734577653159,215.473524982641,6011.96327073508,32957.805152268,1,5.48203700988982,519.15,567.15,321.386452581326,227.598917571497,5,1630.18596053005,10249.8681550114,80815.8477774585,1688.31310583034,513.845397007545,37778.4414968428,413513.871625024,2159243.61223838,62984.8980126787,24586.3687933641,1,10.9457631188831,57.1554443933012,1.66721800892561,0.650804210528876,288.15,347.15,387.15,455.15,517.15,1703.23931855241,88441.067078976,2084.21554170544,680.87458403667,486.551979194892,2.92908410332698e-19,0.0043,20218.4216110347,404.368432220694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...26",26,"Mixed",1,1022.83152216671,44270413.8193776,87108.157786566,1,562.15,1094.08454896723,3,6.4839356846616e-17,1.14235294721036e-17,1,0.1762,2132.47375501412,692.564933068511,42.6494751002824,13.8512986613702,3,7.09319206575103e-17,1.1083060731683e-17,8.42860964801672e-20,1,0.1562,0.0012,6378.97393197397,1372.13449222689,162325.083696169,127.579478639479,27.4426898445377,3246.50167392338,1,246.05285857749,0,34839.5861682233,0,1,0,524.15,0,325.063585990386,0,5,1502.99608695309,93206.046244475,1121.67934296528,289.054764810279,408.455870104295,31309.4612898001,2624864.16873125,73472.6538097754,12820.5916305651,59059.6664936006,1,83.8361332517202,2.34665978854485,0.409479789891555,1.88632011093851,288.15,347.15,389.15,446.15,518.15,1637.81119489962,92950.332222899,1062.46688844337,408.235278589598,497.95046428129,2.25057935207623e-19,0.0035,7260.42092420161,145.208418484032,0,0,0,0,0,0,0,0,0,0,0,1,31.1061501825671,4801.71378947227,1,717.15,55.6060540823861,0,0,0,0,0,0,0,0,0,0,0
"Record_1...27",27,"Mixed",1,951.046857313616,4076906.37622951,98394.780699303,1,563.15,1045.04914454629,3,6.41513699253181e-17,7.69683223311161e-18,1,0.12,4659.8230702869,2681.96948512827,93.1964614057379,53.6393897025654,2,6.67353735336543e-17,1.21845897995634e-19,0,1,0.0018,0,13115.3625649287,138900.826703751,0,262.307251298574,2778.01653407503,0,1,242.931458851795,0,34128.7888788833,0,1,0,520.15,0,289.573929445138,0,5,1938.55620641005,114655.099583227,1692.79021982396,464.348509183283,450.613846147367,46291.522840747,3234149.69581404,101217.31976878,16868.4740831784,56860.0008770897,1,69.8648369581666,2.18651955168962,0.364396611906885,1.22830266510567,289.15,347.15,393.15,456.15,518.15,2072.17338803971,113875.112031483,1706.79606399622,686.753149735928,505.064451226466,2.73950193053436e-19,0.0043,23958.5834695629,479.171669391258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...28",28,"Mixed",1,1109.07657554259,77743750.7557849,105269.910883594,1,565.15,1157.52179435256,3,7.49573188216437e-17,1.1754827988467e-17,1,0.1568,2693.71251001501,703.492648749705,53.8742502003002,14.0698529749941,1,6.31271954086986e-17,0,0,1,0,0,26138.8486386478,0,0,522.776972772955,0,0,2,183.325073798936,57.3374338165774,8181.03666170855,12009.0414406878,1,1.4679119453035,516.15,566.15,259.697381833626,206.775336380979,5,1602.6854987635,91148.3049249454,2124.23038417309,1690.74237166936,384.665649292431,35956.2326062146,2570886.98320696,98612.6977483017,89690.8515593968,52373.8449859001,1,71.5004547712991,2.74257592079482,2.49444519234462,1.45659990465319,287.15,347.15,391.15,443.15,517.15,1696.67691564124,90872.1744423316,2247.23651679803,1771.46509921181,440.601552979573,2.62923944890784e-19,0.0035,11067.8784547466,221.357569094933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...29",29,"Mixed",1,1040.22165794901,107779960.789113,87156.1898416067,1,564.15,1137.65718635176,3,6.66357668986812e-17,5.85989757314438e-18,1,0.0879,1852.67281676011,411.744785763083,37.0534563352021,8.23489571526165,3,8.23813081144393e-17,3.74012482765829e-17,7.77559421655496e-20,1,0.454,9e-04,11898.6010540299,2737.53138698781,144121.707156073,237.972021080598,54.7506277397563,2882.43414312146,2,103.219721430219,205.485701790721,3411.74813413208,29147.8969634453,1,8.54339060724959,524.15,572.15,255.816671588411,215.69159431879,5,1310.13545792684,81400.5074565644,795.318579046519,246.244612671258,336.833966160676,30090.4198647589,2292606.99097279,58306.5961441756,11895.082366108,47713.2314533536,1,76.190594922799,1.93771294671972,0.395311279123732,1.58566187071501,290.15,347.15,387.15,446.15,522.15,1445.1398259246,81139.1004438226,744.863159754999,326.035017994014,381.027094068669,1.71242218977518e-19,0.0026,7667.29499926538,153.345899985308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...30",30,"Mixed",1,459.505487741006,40671527.9933555,39596.1637505948,1,561.15,516.638565178988,3,7.48713257031221e-17,7.4693207884156e-18,1,0.0998,366.490820156486,113.892370917769,7.32981640312971,2.27784741835538,3,9.45254015212326e-17,4.19237237499932e-17,1.10686996582493e-19,1,0.4435,0.0012,13560.9233911794,3918.65499139486,37272.8342064553,271.218467823588,78.3730998278973,745.456684129106,2,56.2250945404986,62.371810827867,2329.21614976525,12255.1288084352,1,5.26148198382976,520.15,658.15,112.814902534497,30.575004149215,5,367.223627060643,19789.150452131,521.342364485712,154.464271397471,166.082919393094,7931.95416034022,558026.98757622,29527.415717465,8036.34407935275,22178.3823441277,1,70.3517665755503,3.72259031262461,1.01316068107585,2.79608049867706,290.15,347.15,391.15,440.15,521.15,393.039533476476,19840.3976982763,514.62802270096,182.108393413546,189.001308109021,9.75398925295021e-20,0.0013,4908.7311122873,98.1746222457459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
