"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.75-0.25",0.896298455445545,0.0520912008067629,0.323414752475248,0.0834787230401143,0.676585247524752,0.0834787230401144,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1",NA,80,3,0.182459531453464,0.182459531453464,0.364919062906929,0.175842,0.146829504950495
"2","0.75-0.25",0.892821564356436,0.0401739438697312,0.350491198019802,0.0680214041488442,0.649508801980198,0.0680214041488442,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1",NA,80,4,0.186104321751673,0.186104321751673,0.372208643503347,0.194576,0.200982396039604
"3","0.75-0.25",0.893586811881188,0.0398832695158541,0.312230465346535,0.0668964311905447,0.687769534653465,0.0668964311905447,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2",NA,80,5,0.180752571901792,0.180752571901792,0.361505143803584,0.125148,0.124460930693069
"4","0.75-0.25",0.892146376237624,0.0364378200974898,0.313522079207921,0.0626878421038216,0.686477920792079,0.0626878421038216,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1",NA,80,6,0.180955893558822,0.180955893558822,0.361911787117644,0.12721,0.127044158415842
"5","0.75-0.25",0.876789613861386,0.0403794396850601,0.30945803960396,0.0569238587490203,0.69054196039604,0.0569238587490203,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2",NA,80,7,0.180310617965942,0.180310617965942,0.360621235931884,0.122506,0.118916079207921
"6","0.75-0.25",0.841519405940594,0.0430749980093275,0.354671118811881,0.0600926309684119,0.645328881188119,0.0600926309684119,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2-Record_3_Peak_intensity_integrated_relative_peak_2",NA,80,8,0.186607392146056,0.186607392146056,0.373214784292113,0.215542,0.209342237623762
"7","0.75-0.25",0.837565287128713,0.0448979380799022,0.35726497029703,0.0598510549678877,0.64273502970297,0.0598510549678876,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2-Record_3_Peak_intensity_integrated_relative_peak_2-Record_1_Sensitivity_component_3",NA,80,9,0.186911741136809,0.186911741136808,0.373823482273617,0.209166,0.214529940594059
"8","0.75-0.25",0.828106831683168,0.0423128522399683,0.334693514851485,0.0612442745483386,0.665306485148515,0.0612442745483386,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2-Record_3_Peak_intensity_integrated_relative_peak_2-Record_1_Sensitivity_component_3-Record_1_Cross_section_relative_component_2",NA,80,10,0.184060207470119,0.184060207470119,0.368120414940238,0.168466,0.16938702970297
"9","0.75-0.25",0.82076703960396,0.0325627848148529,0.312252069306931,0.0485134842583497,0.687747930693069,0.0485134842583497,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2-Record_3_Peak_intensity_integrated_relative_peak_2-Record_1_Sensitivity_component_3-Record_1_Cross_section_relative_component_2-Record_1_Cross_section_relative_component_3",NA,80,11,0.180755986154722,0.180755986154722,0.361511972309443,0.1058,0.124504138613861
"10","0.75-0.25",0.807072772277228,0.0427251467643778,0.334337861386139,0.0614805585130828,0.665662138613861,0.0614805585130828,NA,"Record_1_Sensitivity_component_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Sensitivity_component_1-Record_2_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_1_Intensity_component_1-Record_3_Peak_temperature_peak_2-Record_3_Peak_intensity_integrated_relative_peak_2-Record_1_Sensitivity_component_3-Record_1_Cross_section_relative_component_2-Record_1_Cross_section_relative_component_3-Record_4_Peak_intensity_integrated_relative_peak_4",NA,80,12,0.184011551948614,0.184011551948614,0.368023103897229,0.176172,0.168675722772277
