"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.34-0.66",0.895313089108911,0.0519155722438073,0.42281997029703,0.0510384551497115,0.57718002970297,0.0510384551497115,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1",NA,80,3,0.192689821273569,0.192689821273569,0.385379642547138,0.484438,0.474360059405941
"2","0.34-0.66",0.901795415841584,0.0396809026359702,0.411606178217822,0.0549929747052105,0.588393821782178,0.0549929747052105,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1",NA,80,4,0.191955417923406,0.191955417923406,0.383910835846813,0.479244,0.496787643564356
"3","0.34-0.66",0.898919693069307,0.0338059366025385,0.444951346534653,0.0437071564509602,0.555048653465346,0.0437071564509602,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1",NA,80,5,0.193841681967788,0.193841681967788,0.387683363935575,0.427388,0.430097306930693
"4","0.34-0.66",0.890449910891089,0.0376362634920362,0.421195356435644,0.0499808444363606,0.578804643564356,0.0499808444363606,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2",NA,80,6,0.192589750591579,0.192589750591579,0.385179501183157,0.483136,0.477609287128713
"5","0.34-0.66",0.889478861386139,0.0312658658063485,0.415715910891089,0.0561656555694134,0.584284089108911,0.0561656555694134,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2",NA,80,7,0.192236448098066,0.192236448098066,0.384472896196132,0.48313,0.488568178217822
"6","0.34-0.66",0.864301851485148,0.0278933196129059,0.464055663366337,0.0471901042552943,0.535944336633663,0.0471901042552943,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1",NA,80,8,0.194522687797603,0.194522687797603,0.389045375595205,0.388184,0.391888673267327
"7","0.34-0.66",0.843600653465347,0.0335022961518866,0.490264821782178,0.0522197030800437,0.509735178217822,0.0522197030800437,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1",NA,80,9,0.194990318863367,0.194990318863367,0.389980637726734,0.344388,0.339470356435644
"8","0.34-0.66",0.840607633663366,0.0261516563803224,0.473312940594059,0.0441494132089707,0.526687059405941,0.0441494132089707,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1",NA,80,10,0.194749294617087,0.194749294617087,0.389498589234174,0.376244,0.373374118811881
"9","0.34-0.66",0.840209762376238,0.027130756750282,0.464747772277228,0.0412280922568292,0.535252227722772,0.0412280922568292,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2",NA,80,11,0.194541956943757,0.194541956943757,0.389083913887514,0.396336,0.390504455445545
"10","0.34-0.66",0.843306405940594,0.0278705727261491,0.447347544554455,0.0398760741549428,0.552652455445545,0.0398760741549428,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2",NA,80,12,0.193942933840464,0.193942933840464,0.387885867680928,0.434746,0.425304910891089
"11","0.34-0.66",0.846143712871287,0.0296081689083728,0.466879099009901,0.0423283455477544,0.533120900990099,0.0423283455477544,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2-Record_1_Sensitivity_component_3",NA,80,13,0.194598931293868,0.194598931293868,0.389197862587736,0.391898,0.386241801980198
"12","0.34-0.66",0.833251831683168,0.0293367616928213,0.462056564356436,0.0408382757425961,0.537943435643564,0.0408382757425961,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2-Record_1_Sensitivity_component_3-Record_1_Peak_intensity_max_peak_1",NA,80,14,0.194464915202463,0.194464915202463,0.388929830404927,0.391372,0.395886871287129
"13","0.34-0.66",0.833837564356436,0.0307273849519987,0.462752871287129,0.0417885830637181,0.537247128712871,0.0417885830637181,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2-Record_1_Sensitivity_component_3-Record_1_Peak_intensity_max_peak_1-Record_3_Nb_peaks",NA,80,15,0.194485394766195,0.194485394766195,0.38897078953239,0.39265,0.394494257425743
"14","0.34-0.66",0.831370405940594,0.0288114495668573,0.445496544554455,0.0418853130284411,0.554503455445545,0.0418853130284411,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2-Record_1_Sensitivity_component_3-Record_1_Peak_intensity_max_peak_1-Record_3_Nb_peaks-Record_2_Cross_section_relative_component_3",NA,80,16,0.193865120065035,0.193865120065035,0.387730240130069,0.434152,0.429006910891089
"15","0.34-0.66",0.829427732673267,0.0304817164742706,0.457792386138614,0.0416786996978001,0.542207613861386,0.0416786996978001,NA,"Record_3_Peak_intensity_max_peak_1-Record_2_Intensity_component_1-Record_3_Peak_intensity_peak_1-Record_1_Peak_intensity_integrated_peak_1-Record_2_Sensitivity_component_1-Record_4_Peak_intensity_max_peak_2-Record_2_Cross_section_relative_component_2-Record_1_Sensitivity_component_1-Record_1_Intensity_component_1-Record_3_Peak_intensity_integrated_peak_1-Record_4_Peak_intensity_integrated_peak_2-Record_2_Cross_section_component_2-Record_1_Sensitivity_component_3-Record_1_Peak_intensity_max_peak_1-Record_3_Nb_peaks-Record_2_Cross_section_relative_component_3-Record_1_Intensity_component_3",NA,80,17,0.194331171470949,0.194331171470949,0.388662342941898,0.409622,0.404415227722772
