"","filename","GOF.mean","GOF.SD","S1.mean","S1.SD","S2.mean","S2.SD","tracer_pair","tracers","error_threshold","score_threshold","nb_tracer","S1_CI_width","S2_CI_width","CI_width_sum","Manhattan_dist_median","Manhattan_dist_mean"
"1","0.34-0.66",0.898610663366337,0.0557784128102041,0.578576722772277,0.063933188329086,0.421423277227723,0.063933188329086,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1",NA,80,3,0.192603918602288,0.192603918602288,0.385207837204576,0.486736,0.477153445544554
"2","0.34-0.66",0.887060326732673,0.0399433801356643,0.544930544554455,0.05201586438569,0.455069455445545,0.05201586438569,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1",NA,80,4,0.194238269038997,0.194238269038997,0.388476538077994,0.414278,0.409861089108911
"3","0.34-0.66",0.892324544554455,0.0350009056352903,0.547716663366337,0.0468905814814185,0.452283336633663,0.0468905814814185,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2",NA,80,5,0.194137150451783,0.194137150451783,0.388274300903567,0.401472,0.415433326732673
"4","0.34-0.66",0.886948148514851,0.0398824684623172,0.572776633663366,0.0430956526834721,0.427223366336634,0.0430956526834721,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1",NA,80,6,0.192950329853729,0.192950329853729,0.385900659707459,0.463502,0.465553267326733
"5","0.34-0.66",0.855587396039604,0.0386907068439126,0.544626752475247,0.045111113948207,0.455373247524753,0.045111113948207,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1",NA,80,7,0.194248923990509,0.194248923990509,0.388497847981018,0.410726,0.409253504950495
"6","0.34-0.66",0.862255683168317,0.0371189755618149,0.556505920792079,0.0491937094209581,0.443494079207921,0.0491937094209581,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2",NA,80,8,0.193777874473418,0.193777874473418,0.387555748946836,0.446616,0.433011841584158
"7","0.34-0.66",0.854936108910891,0.0300072171175206,0.569477891089109,0.0461950507606391,0.430522108910891,0.0461950507606391,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_4_Peak_intensity_integrated_peak_2",NA,80,9,0.193135248921323,0.193135248921323,0.386270497842646,0.462652,0.458955782178218
"8","0.34-0.66",0.855777801980198,0.0312869507085685,0.571475306930693,0.0413864355541142,0.428524693069307,0.0413864355541142,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_4_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_integrated_peak_1",NA,80,10,0.193024324447309,0.193024324447309,0.386048648894618,0.462296,0.462950613861386
"9","0.34-0.66",0.858410881188119,0.0310893168353012,0.591019227722772,0.0416196114162257,0.408980772277228,0.0416196114162257,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_4_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_2_Cross_section_relative_component_3",NA,80,11,0.191768658638551,0.191768658638551,0.383537317277102,0.496262,0.502038455445545
"10","0.34-0.66",0.836205544554455,0.0309368511644365,0.563811712871287,0.0461852512422173,0.436188287128713,0.0461852512422173,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_4_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_2_Cross_section_relative_component_3-Record_1_Sensitivity_component_1",NA,80,12,0.193432491936996,0.193432491936996,0.386864983873992,0.452844,0.447623425742574
"11","0.34-0.66",0.837251940594059,0.0287950055168676,0.539449297029703,0.0478201079560773,0.460550702970297,0.0478201079560773,NA,"Record_2_Sensitivity_component_1-Record_3_Peak_intensity_max_peak_1-Record_3_Peak_intensity_peak_1-Record_2_Intensity_component_1-Record_2_Cross_section_relative_component_2-Record_3_Peak_intensity_integrated_peak_1-Record_1_Intensity_component_1-Record_4_Peak_intensity_max_peak_2-Record_4_Peak_intensity_integrated_peak_2-Record_1_Peak_intensity_integrated_peak_1-Record_2_Cross_section_relative_component_3-Record_1_Sensitivity_component_1-Record_1_Sensitivity_component_3",NA,80,13,0.194419320372482,0.194419320372482,0.388838640744965,0.400042,0.398898594059406
