"","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_1","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_1","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_1","Record_1_Peak_intensity_peak_2","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_relative_component_1","Record_1_Intensity_component_1","Record_1_Sensitivity_component_1","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_relative_component_1","Record_2_Intensity_component_1","Record_2_Sensitivity_component_1","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Frequency_factor_peak_1","Record_3_Frequency_factor_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Pop_fraction"
"Record_1...1","S1",2,27918.1680842646,624.718970351215,234157424039.445,1316236356915.86,1201738.39339237,42834.5692456023,1,0.0356438385268572,489.55,568.05,28181.0980700127,634.77776506827,1,4.17855392253249e-18,1,51325664.0063422,1026513.28012684,1,4.06157981287191e-18,1,64837170.988595,1296743.4197719,2,49392.6117509824,1171.54663554302,231584292175.975,1103668234.1002,2126304.1062476,70889.1696512617,1,0.0333391491099378,489.45,568.05,49732.0628486128,1116.52118412041,0.277777777777778
"Record_11...2","S1",2.002,27946.0862523489,625.343689321566,234391581463.485,1317552593272.78,1202940.13178576,42877.4038148479,1.001,0.0356794823653841,490.03955,568.61805,28209.2791680827,635.412542833338,1.001,4.18273247645503e-18,1.001,51376989.6703485,1027539.79340697,1.001,4.06564139268478e-18,1.001,64902008.1595836,1298040.16319167,2.002,49442.0043627333,1172.71818217857,231815876468.151,1104771902.3343,2128430.41035384,70960.0588209129,1.001,0.0333724882590477,489.93945,568.61805,49781.7949114614,1117.63770530453,0.277777777777778
"Record_1...3","S2",2,3257.95931855331,87.7314106119875,269790404043.203,3926049005627977728,140863.370508202,4192.82494571876,1,0.0297651897054006,488.25,569.45,3382.56444306636,76.6761774275332,1,4.0780552774531e-18,1,59472215.3212134,1189444.30642427,1,3.99888415586777e-18,1,73811928.3176783,1476238.56635357,2,5277.43051868443,123.985674965657,791159405099.205,200803583341907488,228210.292512792,5697.27568197211,1,0.0249650251057487,488.45,568.45,5395.734570362,120.75249845519,0.722222222222222
"Record_11...4","S2",2.002,3261.21727787187,87.8191420225994,270060194447.246,3929975054633605120,141004.23387871,4197.01777066448,1.001,0.029794954895106,488.73825,570.01945,3385.94700750942,76.7528536049608,1.001,4.08213333273055e-18,1.001,59531687.5365346,1190633.75073069,1.001,4.00288304002363e-18,1.001,73885740.245996,1477714.80491992,2.002,5282.70794920311,124.109660640623,791950564504.304,201004386925249376,228438.502805304,5702.97295765408,1.001,0.0249899901308545,488.93845,569.01845,5401.13030493236,120.873250953645,0.722222222222222
"Record_1...5","Mixed",2,10887.2519086879,261.102926633249,222035243776.512,796859076.780096,468351.064136414,16160.8662496652,1,0.0345058813509136,488.65,568.35,11211.6298606166,246.589374052643,1,4.10690053509362e-18,1,56989321.5541407,1139786.43108281,1,4.01684134936465e-18,1,71112846.3840534,1422256.92768107,2,18290.3069988028,407.156404675606,303903525888.902,3267447575.51831,779575.493147552,25579.0452551961,1,0.0328115050819776,488.75,568.15,18433.5314993477,404.12675317823,NA
