"","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_1","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_1","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_1","Record_1_Peak_intensity_peak_2","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_relative_component_1","Record_1_Intensity_component_1","Record_1_Sensitivity_component_1","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_relative_component_1","Record_2_Intensity_component_1","Record_2_Sensitivity_component_1","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Frequency_factor_peak_1","Record_3_Frequency_factor_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Pop_fraction"
"Record_1...1","S1",2,27918.1680842646,624.718970351215,234157424039.445,1316236356915.86,1201738.39339237,42834.5692456023,1,0.0356438385268572,489.55,568.05,28181.0980700127,634.77776506827,1,4.17855392253249e-18,1,51325664.0063422,1026513.28012684,1,4.06157981287191e-18,1,64837170.988595,1296743.4197719,2,49392.6117509824,1171.54663554302,231584292175.975,1103668234.1002,2126304.1062476,70889.1696512617,1,0.0333391491099378,489.45,568.05,49732.0628486128,1116.52118412041,0.29020979020979
"Record_11...2","S1",2.002,27946.0862523489,625.343689321566,234391581463.485,1317552593272.78,1202940.13178576,42877.4038148479,1.001,0.0356794823653841,490.03955,568.61805,28209.2791680827,635.412542833338,1.001,4.18273247645503e-18,1.001,51376989.6703485,1027539.79340697,1.001,4.06564139268478e-18,1.001,64902008.1595836,1298040.16319167,2.002,49442.0043627333,1172.71818217857,231815876468.151,1104771902.3343,2128430.41035384,70960.0588209129,1.001,0.0333724882590477,489.93945,568.61805,49781.7949114614,1117.63770530453,0.29020979020979
"Record_1...3","S2",2,3257.95931855331,87.7314106119875,269790404043.203,3926049005627977728,140863.370508202,4192.82494571876,1,0.0297651897054006,488.25,569.45,3382.56444306636,76.6761774275332,1,4.0780552774531e-18,1,59472215.3212134,1189444.30642427,1,3.99888415586777e-18,1,73811928.3176783,1476238.56635357,2,5277.43051868443,123.985674965657,791159405099.205,200803583341907488,228210.292512792,5697.27568197211,1,0.0249650251057487,488.45,568.45,5395.734570362,120.75249845519,0.465034965034965
"Record_11...4","S2",2.002,3261.21727787187,87.8191420225994,270060194447.246,3929975054633605120,141004.23387871,4197.01777066448,1.001,0.029794954895106,488.73825,570.01945,3385.94700750942,76.7528536049608,1.001,4.08213333273055e-18,1.001,59531687.5365346,1190633.75073069,1.001,4.00288304002363e-18,1.001,73885740.245996,1477714.80491992,2.002,5282.70794920311,124.109660640623,791950564504.304,201004386925249376,228438.502805304,5702.97295765408,1.001,0.0249899901308545,488.93845,569.01845,5401.13030493236,120.873250953645,0.465034965034965
"Record_1...5","S3",2,3365.27547969561,68.9371337081309,1155453426990.11,11229356754.5644,142332.672644321,5506.2497580247,1,0.0386857750629359,488.25,569.45,3382.58235142113,76.6785570884865,1,4.04820291192997e-18,1,59525782.8484867,1190515.65696973,1,3.97047570579394e-18,1,73822737.1602522,1476454.74320504,2,5372.85639393196,130.054897718008,736418575525.386,9045124627.40303,225559.030747665,8514.81221888942,1,0.0377498173789149,488.45,568.45,5393.16778706288,120.698329692228,0.244755244755245
"Record_11...6","S3",2.002,3368.64075517531,69.0060708418391,1156608880417.1,11240586111.319,142475.005316965,5511.75600778272,1.001,0.0387244608379988,488.73825,570.01945,3385.96493377255,76.755235645575,1.001,4.0522511148419e-18,1.001,59585308.6313352,1191706.1726267,1.001,3.97444618149974e-18,1.001,73896559.8974125,1477931.19794825,2.002,5378.22925032589,130.184952615726,737154994100.911,9054169752.03044,225784.589778413,8523.32703110831,1.001,0.0377875671962938,488.93845,569.01845,5398.56095484995,120.81902802192,0.244755244755245
"Record_1...7","Mixed",2,11075.9360191056,255.773570821569,178290333812.174,1016328298.94462,479680.273238511,16616.6375053495,1,0.0346410691295766,488.65,568.35,11543.3685040386,253.906069352228,1,4.10098854560284e-18,1,56895272.3335273,1137905.44667055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
